company,grossProfit,incomeBeforeTax,incomeTaxExpense,netIncome,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,operatingIncome,sellingGeneralAdministrative,totalOperatingExpenses,totalOtherIncomeExpenseNet,totalRevenue,accountsPayable,cash,commonStock,netTangibleAssets,otherCurrentAssets,otherCurrentLiab,propertyPlantEquipment,retainedEarnings,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiab,totalStockholderEquity,esgRiskRating,esgCluster
DOID.jk,0.04349071618037135,0.18719119784097987,0.04221924683281412,0.23756599055293137,0.23756599055293137,0.23700305810397554,0.101816663186469,0.007604332392991046,0.05112576191068541,0.3963295880149813,0.04851280055848659,0.0006518781021997804,0.01346064433975915,0.02025652953027502,0.2343739279588336,0.005842419826435683,0.003068257340503868,0.039684181684998064,0.21448177946048275,0.008199028893917257,0.016440698826867394,0.0024615841245568017,0.0072882451679862235,0.053038017651052274,0.6475409836065574,1.0
ELSA.jk,0.04407427055702917,0.20242889765414157,0.0573208722741433,0.2539316476799111,0.2539316476799111,0.252013251783894,0.10496972228022552,0.004712714452641673,0.043973130986441095,0.4399821722846442,0.042847823847835295,0.000620968956908881,0.010210514683503922,0.021646505434726813,0.23406518010291594,0.00684812173129175,0.004470892742575802,0.011054759361877017,0.22210127780407007,0.004134627395681915,0.012845510549124523,0.0019534589612308566,0.0025917626015034543,0.05269857433808554,0.6106557377049181,1.0
ERAA.jk,0.07151193633952255,0.21355615528337138,0.0691588785046729,0.2640177827174215,0.2640177827174215,0.26276758409785933,0.11839632491125496,0.047287983863838354,0.2038810797362856,0.43161048689138576,0.19374220350427449,0.0018982439314298716,0.01662743733816168,0.049130119909114534,0.23732418524871354,0.004539256794791201,0.02969551567409335,0.0067491626453138895,0.22484619025082822,0.006396771348828191,0.023631075382353133,0.004026287008449396,0.00382386450937702,0.05978445349626612,0.0,0.0
EXCL.jk,0.21273209549071617,0.19755034253684867,0.020249221183800622,0.2573492636843568,0.2573492636843568,0.25514780835881756,0.16015869701399038,0.06954583248363287,0.1410623211842269,0.22397003745318353,0.1473923940534911,0.0003255138916282247,0.024711093149873405,0.03238722833276339,0.2443910806174957,0.004284290114686846,0.46176759986889315,0.2630160425415322,0.23790818741126363,0.04150972007211516,0.02369585354951967,0.015124385813790678,0.0350467763865495,0.11787169042769857,0.334016393442623,0.3333333333333333
GGRM.jk,0.21909814323607427,0.39505916545567776,0.2533748701973001,0.459572103362045,0.459572103362045,0.44062181447502546,0.3067446230945918,0.1399339007684531,0.6454782933200647,0.41265917602996255,0.6509458794447178,0.0010164241981306824,0.03971169156335907,0.028975469294563537,0.4219554030874786,0.025177393067682605,0.02672318749426485,0.1539782036155829,0.481779460482726,0.04803513532157557,0.159503281014167,0.013591944845029891,0.014101043952698882,0.28504752206381534,0.5327868852459017,0.6666666666666667
HMSP.jk,0.2350132625994695,0.42702927133070373,0.31152647975077885,0.48541261461517093,0.48541261461517093,0.4643221202854231,0.3130089789100021,0.1585772269628109,0.18460007463614878,0.5010486891385768,0.22921983542956545,0.003043700492210262,0.13163202517488515,0.013275059646551242,0.3248713550600343,0.025177393067682605,0.05447830603833909,0.03588183653270855,0.25021296734500714,0.03032329393018303,0.13229645080422095,0.013349980481541346,0.013883614204250605,0.164969450101833,0.2991803278688525,0.3333333333333333
HOKI.jk,0.03705039787798408,0.19557555909381358,0.04494665235140187,0.24807012504956932,0.24807012504956932,0.2466370647147044,0.09725572370693256,0.0007408757461008365,0.005535514367458639,0.44294367589692885,0.00531020039139839,0.0,0.0,0.006230409039897838,0.2235403087478559,0.0003291858554401249,5.766408562007965e-05,0.0012804956468739689,0.21089446284902982,0.0,0.0005473755125572477,3.3068463010101196e-05,0.0,0.039638492871690426,0.7213114754098362,1.0
ICBP.jk,0.2180371352785146,0.4021175005189952,0.31464174454828664,0.4301194776326758,0.4301194776326758,0.4347604485219164,0.28795155564836084,0.15363103838063435,0.2312476676203508,0.5059925093632959,0.26526968722461924,0.0027709727396435023,0.0794632773590961,0.017002722299399232,0.1307032590051458,0.01121088492418849,0.0998665606762608,0.07513545854605032,0.31661145291055376,0.06406901279167829,0.06622272029435199,0.007284740436761807,0.038453175778905835,0.16157501697216564,0.6311475409836067,1.0
INCO.jk,0.054641909814323604,0.22607432011625492,0.07642782969885774,0.28035565434843013,0.28035565434843013,0.2762487257900102,0.12800167049488412,0.0013835490607920665,0.05802960567234731,0.4422950936329588,0.06213163345884022,0.0014891523025797322,0.04696198079654381,0.06113445726574365,0.3217838765008576,0.007372219907061813,0.004270059757452254,0.11875059411643005,0.31992427827733083,0.020317657214343733,0.03189029169608675,0.0017598874704400202,0.002917907224175869,0.16115071283095722,0.41393442622950827,0.6666666666666667
INDF.jk,0.319893899204244,0.45194104214241226,0.42471443406022846,0.42650736315643234,0.42650736315643234,0.4686544342507646,0.3652119440384214,0.2675836137930866,0.4271675581539992,0.4122846441947566,0.4661188615113472,0.00400733855127948,0.14413252385278988,0.026321878931519205,0.16672384219554032,0.03325133793765385,0.1532881347191244,0.2641343793510291,0.3568386180785613,0.10073563181245583,0.12355139823673829,0.022463971506276555,0.060703486703446115,0.21673455532926,0.6926229508196723,1.0
